midpont,lower,upper,frequency,fm,
64.5,60,69,12,774,
74.5,70,79,14,1043,
84.5,80,89,11,929.5,
94.5,90,99,1,94.5,
104.5,100,109,1,104.5,
114.5,110,119,0,0,
124.5,120,129,1,124.5,
,,sum,40,3070,
,,,,76.75,mean
